,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state,Technical potential by state
,Unnamed: 0_level_1,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Solar,Wind,Wind,Wind,Wind
,Unnamed: 0_level_2,Urban Utility Scale PV,Urban Utility Scale PV,Rural Utility Scale PV,Rural Utility Scale PV,Rooftop PV,Rooftop PV,Concentrating Solar Power (CSP),Concentrating Solar Power (CSP),Onshore Wind Power,Onshore Wind Power,Offshore Wind Power,Offshore Wind Power
,State,MW,GWh,MW,GWh,MW,GWh,MW,GWh,MW,GWh,MW,GWh
0,Alabama,,,,,,,,,,,0.0,0.0
1,Alaska,,,,,,,,,,,,
2,Arizona,,,,,,,,,,,,
3,Arkansas,,,,,,,,,,,,
4,California,,,,,,,,,,,,
5,Colorado,,,,,,,,,,,,
6,Connecticut,,,,,,,,,,,,
7,Delaware,,,,,,,,,,,,
8,Florida,,,,,,,,,,,,
9,Georgia,,,,,,,,,,,,
10,Hawaii,,,,,,,,,,,,
11,Idaho,,,,,,,,,,,,
12,Illinois,,,,,,,,,,,,
13,Indiana,,,,,,,,,,,,
14,Iowa,,,,,,,,,,,,
15,Kansas,,,,,,,,,,,,
16,Kentucky,,,,,,,,,,,,
17,Louisiana,,,,,,,,,,,,
18,Maine,,,,,,,,,,,,
19,Maryland,,,,,,,,,,,,
20,Massachusetts,,,,,,,,,,,,
21,Michigan,,,,,,,,,,,,
22,Minnesota,,,,,,,,,,,,
23,Mississippi,,,,,,,,,,,,
24,Missouri,,,,,,,,,,,,
25,Montana,,,,,,,,,,,,
26,Nebraska,,,,,,,,,,,,
27,Nevada,,,,,,,,,,,,
28,New Hampshire,,,,,,,,,,,,
29,New Jersey,,,,,,,,,,,,
30,New Mexico,,,,,,,,,,,,
31,New York,,,,,,,,,,,,
32,North Carolina,,,,,,,,,,,,
33,North Dakota,,,,,,,,,,,,
34,Ohio,,,,,,,,,,,,
35,Oklahoma,,,,,,,,,,,,
36,Oregon,,,,,,,,,,,,
37,Pennsylvania,,,,,,,,,,,,
38,Rhode Island,,,,,,,,,,,,
39,South Carolina,,,,,,,,,,,,
40,South Dakota,,,,,,,,,,,,
41,Tennessee,,,,,,,,,,,,
42,Texas,,,,,,,,,,,,
43,Utah,,,,,,,,,,,,
44,Vermont,,,,,,,,,,,,
45,Virginia,,,,,,,,,,,,
46,Washington,,,,,,,,,,,,
47,DC,,,,,,,,,,,,
48,West Virginia,,,,,,,,,,,,
49,Wisconsin,,,,,,,,,,,,
50,Wyoming,,,,,,,,,,,,
51,TOTAL,1217699.0,2231694.0,152973829.0,280613217.0,664825.0,818733.0,38066401.0,116146245.0,10954759.0,32784005.0,4223514.0,16975802.0
