,Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued],Technical potential by state [continued]
,Unnamed: 0_level_1,Bioenergy,Bioenergy,Bioenergy,Bioenergy,Geothermal,Geothermal,Geothermal,Geothermal,Hydro,Hydro,Unnamed: 11_level_1,Electricity,Total
,Unnamed: 0_level_2,Biomass/Biofuel,Biomass/Biofuel,Methane,Methane,Hydrothermal,Hydrothermal,Enhanced Geothermal,Enhanced Geothermal,Hydropower,Hydropower,Total,2010,2010
,State,MW,GWh,MW,GWh,MW,GWh,MW,GWh,MW,GWh,GWh,GWh,GWh
0,Alabama,,,,,,,,,,,,,
1,Alaska,,,,,,,,,,,,,
2,Arizona,,,,,,,,,,,,,
3,Arkansas,,,,,,,,,,,,,
4,California,,,,,,,,,,,,,
5,Colorado,,,,,,,,,,,,,
6,Connecticut,,,,,,,,,,,,,
7,Delaware,,,,,,,,,,,,,
8,Florida,,,,,,,,,,,,,
9,Georgia,,,,,,,,,,,,,
10,Hawaii,,,,,,,,,,,,,
11,Idaho,,,,,,,,,,,,,
12,Illinois,,,,,,,,,,,,,
13,Indiana,,,,,,,,,,,,,
14,Iowa,,,,,,,,,,,,,
15,Kansas,,,,,,,,,,,,,
16,Kentucky,,,,,,,,,,,,,
17,Louisiana,,,,,,,,,,,,,
18,Maine,,,,,,,,,,,,,
19,Maryland,,,,,,,,,,,,,
20,Massachusetts,,,,,,,,,,,,,
21,Michigan,,,,,,,,,,,,,
22,Minnesota,,,,,,,,,,,,,
23,Mississippi,,,,,,,,,,,,,
24,Missouri,,,,,,,,,,,,,
25,Montana,,,,,,,,,,,,,
26,Nebraska,,,,,,,,,,,,,
27,Nevada,,,,,,,,,,,,,
28,New Hampshire,,,,,,,,,,,,,
29,New Jersey,,,,,,,,,,,,,
30,New Mexico,,,,,,,,,,,,,
31,New York,,,,,,,,,,,,,
32,North Carolina,,,,,,,,,,,,,
33,North Dakota,,,,,,,,,,,,,
34,Ohio,,,,,,,,,,,,,
35,Oklahoma,,,,,,,,,,,,,
36,Oregon,,,,,,,,,,,,,
37,Pennsylvania,,,,,,,,,,,,,
38,Rhode Island,,,,,,,,,,,,,
39,South Carolina,,,,,,,,,,,,,
40,South Dakota,,,,,,,,,,,,,
41,Tennessee,,,,,,,,,,,,,
42,Texas,,,,,,,,,,,,,
43,Utah,,,,,,,,,,,,,
44,Vermont,,,,,,,,,,,,,
45,Virginia,,,,,,,,,,,,,
46,Washington,,,,,,,,,,,,,
47,DC,,,,,,,,,,,,,
48,West Virginia,,,,,,,,,,,,,
49,Wisconsin,,,,,,,,,,,,,
50,Wyoming,,,,,,,,,,,,,
51,TOTAL,50707.0,399774.0,11232.0,88551.0,38227.0,301382.0,3975735.0,31344696.0,60329.0,258953.0,481963052.0,3754493.0,28636000.0
