,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010
Industrial Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroelectric Power,1.653,1.585,1.831,1.828,1.603,1.293,1.048,0.966,0.743,1.146,1.266,1.309
Geothermal,0.357,0.322,0.357,0.345,0.357,0.345,0.357,0.357,0.345,0.357,0.345,0.357
Solar,0.145,0.157,0.216,0.238,0.264,0.266,0.279,0.276,0.252,0.229,0.188,0.179
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,117.826,108.51,118.792,113.941,115.531,115.927,119.887,120.531,118.543,118.699,117.205,123.608
Waste,14.753,13.023,14.46,14.52,13.613,13.039,13.747,13.688,12.79,14.905,14.839,14.801
Fuel Ethanol,1.283,1.204,1.323,1.333,1.41,1.438,1.448,1.445,1.366,1.45,1.403,1.458
Losses and Coproducts,58.769,54.611,60.806,58.262,60.243,58.83,61.011,61.912,60.189,63.042,63.625,65.275
Total,192.63,177.349,195.381,188.055,190.798,189.234,196.093,197.576,192.887,198.095,197.072,205.142
Total,194.785,179.413,197.785,190.466,193.021,191.139,197.776,199.176,194.227,199.827,198.872,206.987
Transportation Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuel Ethanol,80.683,75.742,83.211,83.799,88.683,90.415,91.04,90.867,85.872,91.162,88.224,91.661
Biodiesel,0.168,3.188,2.142,3.612,3.086,2.33,3.336,2.858,4.005,3.162,2.541,2.757
Other,0.005,0.022,0.011,0.011,0.011,0.027,0.027,0.033,0.033,0.016,0.027,0.027
Total,80.856,78.952,85.364,87.422,91.78,92.772,94.403,93.758,89.909,94.341,90.793,94.446
